,ID,Haus/Wohnung,ID.1,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,livingSpace,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m,lat1,lon1
3046,87622035,Wohnung,87622035.0,Miete,"Galluner Str. 8, Lichtenrade (Tempelhof), Berlin",True,True,Berlin,False,001.15286472,True,106.0,2.0,12307.0,1350.0,False,Lichtenrade (Tempelhof),"Offene luxussanierte Penthouse  Dach-WE mit Sonnenterrasse, Gartennutzung und Stellplatz",https://www.immobilienscout24.de/expose/87622035,12.735849056600001,52.38122,13.404179999999998
3047,87632932,Wohnung,87632932.0,Miete,"Grönerstr. 15, Spandau (Spandau), Berlin",True,True,Berlin,False,001.11085476,False,96.0,3.0,13585.0,680.0,False,Spandau (Spandau),Superschöne Familienwohnung in ruhiger Lage Nähe Rathaus Spandau,https://www.immobilienscout24.de/expose/87632932,7.083333333330001,52.54305,13.202570000000001
3048,87692019,Wohnung,87692019.0,Miete,"Hasenmark 19, Spandau (Spandau), Berlin",True,False,Berlin,True,001.472681,False,36.5,1.0,13585.0,480.19,False,Spandau (Spandau),Sehr schöne 1-Zimmerwohnung in Berlin – Spandau,https://www.immobilienscout24.de/expose/87692019,13.155890411,52.54196999999999,13.19902
3049,87866376,Wohnung,87866376.0,Miete,"Neue Grünstr. 39, Mitte (Mitte), Berlin",True,True,Berlin,True,001.15693294,False,59.7,2.0,10117.0,1189.0,False,Mitte (Mitte),Stilvoll möblierte Neubau in Mitte am Spittelmarkt!,https://www.immobilienscout24.de/expose/87866376,19.9162479062,52.50869,13.403929999999999
3050,87894903,Wohnung,87894903.0,Miete,"Kreuzberg (Kreuzberg), Berlin",False,False,Berlin,False,009.8044d9c0-7229-4977-b170-1425234b177c,False,43.0,1.0,10967.0,300.0,True,Kreuzberg (Kreuzberg),Nachmieter für Wohnung am Hermannplatz in Berlin Kreuzberg gesucht,https://www.immobilienscout24.de/expose/87894903,6.97674418605,52.4877388,13.3815238
3051,87915421,Wohnung,87915421.0,Miete,"Atzpodienstr. 3, Lichtenberg (Lichtenberg), Berlin",True,False,Berlin,True,001.15235172,False,35.76,1.0,10365.0,447.0,False,Lichtenberg (Lichtenberg),"++ SANIERT ++ Mit großzügige Terrasse in gepflegter Wohnanlage, nahe Frankfurter Allee +++",https://www.immobilienscout24.de/expose/87915421,12.5,52.51278000000001,13.49295
3052,87992772,Wohnung,87992772.0,Miete,"Friedenau (Schöneberg), Berlin",True,False,Berlin,False,001.15680257,False,118.0,4.0,12161.0,1710.0,True,Friedenau (Schöneberg),"schöne, ruhige 4 Zimmer Altbauwohnung in Steglitz/ Friedenau ab sofort zu vermieten",https://www.immobilienscout24.de/expose/87992772,14.491525423699999,52.4707164,13.3415003
3053,88392735,Wohnung,88392735.0,Miete,"Windscheidstraße 19, Charlottenburg (Charlottenburg), Berlin",False,False,Berlin,True,001.682844,False,106.16,3.0,10627.0,1249.98,False,Charlottenburg (Charlottenburg),Modernisierte Altbauwohnung im Kiez-Windscheidstraße,https://www.immobilienscout24.de/expose/88392735,11.7744913338,52.5056,13.29909
3054,88464705,Wohnung,88464705.0,Miete,"Trachenbergring 7, Lankwitz (Steglitz), Berlin",True,False,Berlin,False,001.15251303,False,153.0,5.0,12249.0,1760.0,False,Lankwitz (Steglitz),GROSSZÜGIGES 5-ZI DACHGESCHOSS MIT 4 TERRASSEN & 2 BÄDERN IM GRÜNEN BERLIN-LANKWITZ,https://www.immobilienscout24.de/expose/88464705,11.503267973900002,52.42886,13.36677
3055,88481877,Wohnung,88481877.0,Miete,"Hagenplatz 7, Grunewald (Wilmersdorf), Berlin",False,True,Berlin,True,001.859124,True,139.0,3.0,14193.0,2085.0,False,Grunewald (Wilmersdorf),wunderschöne Villenetage im 1. OG im Grunewald,https://www.immobilienscout24.de/expose/88481877,15.0,52.483059999999995,13.266739999999999
